model,type,row_label,col_label,value
LinearSVC_C1.0,cm_norm,true_manuals,pred_scientific_articles,0.00375
LinearSVC_C1.0,cm,true_patents,pred_financial_reports,1.0
LinearSVC_C1.0,cm_norm,true_patents,pred_financial_reports,0.0022624434389140274
LinearSVC_C1.0,cm,true_patents,pred_government_tenders,0.0
LinearSVC_C1.0,cm_norm,true_patents,pred_government_tenders,0.0
LinearSVC_C1.0,cm,true_patents,pred_laws_and_regulations,0.0
LinearSVC_C1.0,cm_norm,true_patents,pred_laws_and_regulations,0.0
LinearSVC_C1.0,cm,true_patents,pred_manuals,0.0
LinearSVC_C1.0,cm_norm,true_patents,pred_manuals,0.0
LinearSVC_C1.0,cm,true_patents,pred_patents,436.0
LinearSVC_C1.0,cm_norm,true_patents,pred_patents,0.9864253393665159
LinearSVC_C1.0,cm,true_patents,pred_scientific_articles,5.0
LinearSVC_C1.0,cm_norm,true_patents,pred_scientific_articles,0.011312217194570135
LinearSVC_C1.0,cm,true_scientific_articles,pred_financial_reports,3.0
LinearSVC_C1.0,cm_norm,true_scientific_articles,pred_financial_reports,0.003188097768331562
LinearSVC_C1.0,cm,true_scientific_articles,pred_government_tenders,0.0
LinearSVC_C1.0,cm_norm,true_scientific_articles,pred_government_tenders,0.0
LinearSVC_C1.0,cm,true_scientific_articles,pred_laws_and_regulations,4.0
LinearSVC_C1.0,cm_norm,true_scientific_articles,pred_laws_and_regulations,0.004250797024442083
LinearSVC_C1.0,cm,true_scientific_articles,pred_manuals,1.0
LinearSVC_C1.0,cm_norm,true_scientific_articles,pred_manuals,0.0010626992561105207
LinearSVC_C1.0,cm,true_scientific_articles,pred_patents,0.0
LinearSVC_C1.0,cm_norm,true_scientific_articles,pred_patents,0.0
LinearSVC_C1.0,cm,true_scientific_articles,pred_scientific_articles,933.0
LinearSVC_C1.0,cm_norm,true_scientific_articles,pred_scientific_articles,0.9914984059511158
